round,warmup,role,case,stage,input,wallSeconds,cpuSeconds,peakRssBytes,artifactBytes,artifactSha256,stdoutSha256
4,False,candidate,n-body,build,1000000,0.1571860418189317,0.12,39337984,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,candidate,n-body,runtime,1000000,0.47805375000461936,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
4,False,candidate,compiler,self-build,,1.6569359998684376,1.64,40779776,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,cumulative,spectral-norm,build,5500,0.1394430419895798,0.1,39665664,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,cumulative,spectral-norm,runtime,5500,2.3574385419487953,2.1799999999999997,2539520,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
4,False,cumulative,n-body,build,1000000,0.15519449999555945,0.12,39600128,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,cumulative,n-body,runtime,1000000,0.26997520914301276,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
4,False,cumulative,compiler,self-build,,1.6113822080660611,1.5699999999999998,40599552,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,candidate,spectral-norm,build,5500,0.12962370901368558,0.11,39632896,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,candidate,spectral-norm,runtime,5500,2.3713199170306325,2.19,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
5,False,candidate,n-body,build,1000000,0.1559479171410203,0.12,39387136,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,candidate,n-body,runtime,1000000,0.4782521661836654,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
5,False,candidate,compiler,self-build,,1.656734541989863,1.6099999999999999,40091648,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,cumulative,spectral-norm,build,5500,0.13275962509214878,0.1,39272448,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,cumulative,spectral-norm,runtime,5500,2.3743303332012147,2.1799999999999997,2441216,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
5,False,cumulative,n-body,build,1000000,0.14898662501946092,0.13,39239680,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,cumulative,n-body,runtime,1000000,0.2738528340123594,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
5,False,cumulative,compiler,self-build,,1.5860600839369,1.5599999999999998,40304640,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,control,spectral-norm,build,5500,0.1417804998345673,0.11,39534592,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,control,spectral-norm,runtime,5500,2.363652041880414,2.1799999999999997,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
5,False,control,n-body,build,1000000,0.14941795892082155,0.12,39370752,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
5,False,control,n-body,runtime,1000000,0.47279120795428753,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
5,False,control,compiler,self-build,,1.658721833024174,1.6199999999999999,40304640,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,cumulative,spectral-norm,build,5500,0.1318230840843171,0.1,39534592,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,cumulative,spectral-norm,runtime,5500,2.3705056658945978,2.1799999999999997,2441216,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
6,False,cumulative,n-body,build,1000000,0.14744558394886553,0.12,39616512,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,cumulative,n-body,runtime,1000000,0.2707950829062611,0.09,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
6,False,cumulative,compiler,self-build,,1.6390619580633938,1.5899999999999999,40452096,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,control,spectral-norm,build,5500,0.13254179200157523,0.11,39583744,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,control,spectral-norm,runtime,5500,2.3652615409810096,2.19,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
6,False,control,n-body,build,1000000,0.15087283309549093,0.12,39403520,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,control,n-body,runtime,1000000,0.5130011660512537,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
6,False,control,compiler,self-build,,1.650512041989714,1.63,40714240,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,candidate,spectral-norm,build,5500,0.1351695409975946,0.11,39682048,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,candidate,spectral-norm,runtime,5500,2.3673727919813246,2.1799999999999997,2424832,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
6,False,candidate,n-body,build,1000000,0.16372312512248755,0.13,39632896,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
6,False,candidate,n-body,runtime,1000000,0.4763196660205722,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
6,False,candidate,compiler,self-build,,1.6919047499541193,1.66,40337408,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
