label,wall_precise,status,stdout_sha256,wall,cpu,rss,phase,round,role,kind,case,size
baseline-spectral-100,0.01721499999985099,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1490944,retained,2,baseline,runtime,spectral100,
same_feature-spectral-5500,2.2350312920752913,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.22,2.2,2424832,retained,2,same_feature,runtime,spectral5500,
candidate-spectral-5500,2.3154233328532428,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.3,2.22,2441216,retained,2,candidate,runtime,spectral5500,
baseline-spectral-5500,2.2903615839313716,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.28,2.2,2473984,retained,2,baseline,runtime,spectral5500,
same_feature-integer-build,0.13914654194377363,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.13,0.1,39583744,retained,2,same_feature,app-build,integer,50952
candidate-integer-build,0.12721412489190698,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39403520,retained,2,candidate,app-build,integer,50952
baseline-integer-build,0.1243918330874294,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39321600,retained,2,baseline,app-build,integer,50952
same_feature-integer-,0.07652991614304483,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,2,same_feature,runtime,integer,
candidate-integer-,0.08011816604994237,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,retained,2,candidate,runtime,integer,
baseline-integer-,0.07950012502260506,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,2,baseline,runtime,integer,
same_feature-float-build,0.13198208389803767,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39534592,retained,2,same_feature,app-build,float,50952
candidate-float-build,0.11503258300945163,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.11,39223296,retained,2,candidate,app-build,float,50952
baseline-float-build,0.11899024993181229,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.11,39649280,retained,2,baseline,app-build,float,50952
same_feature-float-,0.06895516696386039,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,2,same_feature,runtime,float,
candidate-float-,0.06983825005590916,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,2,candidate,runtime,float,
baseline-float-,0.06917266687378287,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,2,baseline,runtime,float,
candidate-self-build,1.6538289999589324,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.64,1.6199999999999999,40566784,retained,3,candidate,self-build,compiler,349256
baseline-self-build,1.6924724581185728,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.68,1.5999999999999999,40337408,retained,3,baseline,self-build,compiler,349240
same_feature-self-build,1.6605622919742018,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.65,1.63,40697856,retained,3,same_feature,self-build,compiler,349256
candidate-spectral-build,0.1321178339421749,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39469056,retained,3,candidate,app-build,spectral,50984
baseline-spectral-build,0.1329333339817822,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39550976,retained,3,baseline,app-build,spectral,50984
same_feature-spectral-build,0.13725970801897347,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39583744,retained,3,same_feature,app-build,spectral,50984
candidate-spectral-100,0.017035625176504254,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1507328,retained,3,candidate,runtime,spectral100,
baseline-spectral-100,0.017053124960511923,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,retained,3,baseline,runtime,spectral100,
same_feature-spectral-100,0.017140249954536557,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,retained,3,same_feature,runtime,spectral100,
candidate-spectral-5500,2.216382083017379,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.2,2.19,2441216,retained,3,candidate,runtime,spectral5500,
baseline-spectral-5500,2.2286333749070764,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.21,2.19,2441216,retained,3,baseline,runtime,spectral5500,
same_feature-spectral-5500,2.2174214590340853,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.21,2.1799999999999997,2408448,retained,3,same_feature,runtime,spectral5500,
candidate-integer-build,0.1226711249910295,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39927808,retained,3,candidate,app-build,integer,50952
baseline-integer-build,0.11739862500689924,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.09,40108032,retained,3,baseline,app-build,integer,50952
same_feature-integer-build,0.11613308312371373,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.1,39370752,retained,3,same_feature,app-build,integer,50952
candidate-integer-,0.07713070907630026,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,3,candidate,runtime,integer,
baseline-integer-,0.07603566604666412,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,3,baseline,runtime,integer,
same_feature-integer-,0.07626437488943338,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,3,same_feature,runtime,integer,
candidate-float-build,0.1245009999256581,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39239680,retained,3,candidate,app-build,float,50952
baseline-float-build,0.1159784160554409,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.1,39485440,retained,3,baseline,app-build,float,50952
same_feature-float-build,0.11827970808371902,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39501824,retained,3,same_feature,app-build,float,50952
candidate-float-,0.06870175013318658,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,3,candidate,runtime,float,
baseline-float-,0.0703093339689076,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,3,baseline,runtime,float,
same_feature-float-,0.07511950004845858,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,3,same_feature,runtime,float,
baseline-self-build,1.6210902919992805,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.61,1.5699999999999998,40370176,retained,4,baseline,self-build,compiler,349240
same_feature-self-build,1.6474977908656,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.63,1.6099999999999999,40828928,retained,4,same_feature,self-build,compiler,349256
candidate-self-build,1.6369849578477442,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.62,1.6099999999999999,40501248,retained,4,candidate,self-build,compiler,349256
baseline-spectral-build,0.13205854198895395,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39403520,retained,4,baseline,app-build,spectral,50984
same_feature-spectral-build,0.13582320814020932,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39354368,retained,4,same_feature,app-build,spectral,50984
candidate-spectral-build,0.1274900829885155,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.11,39518208,retained,4,candidate,app-build,spectral,50984
baseline-spectral-100,0.01684491685591638,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,retained,4,baseline,runtime,spectral100,
same_feature-spectral-100,0.016278249910101295,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,retained,4,same_feature,runtime,spectral100,
candidate-spectral-100,0.016221540980041027,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1507328,retained,4,candidate,runtime,spectral100,
baseline-spectral-5500,2.219624917022884,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.21,2.19,2408448,retained,4,baseline,runtime,spectral5500,
same_feature-spectral-5500,2.3567596250213683,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.34,2.23,2424832,retained,4,same_feature,runtime,spectral5500,
candidate-spectral-5500,2.2621162079740316,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.25,2.21,2441216,retained,4,candidate,runtime,spectral5500,
baseline-integer-build,0.13031883304938674,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39616512,retained,4,baseline,app-build,integer,50952
same_feature-integer-build,0.1229566668625921,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39682048,retained,4,same_feature,app-build,integer,50952
candidate-integer-build,0.11678087501786649,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.1,39501824,retained,4,candidate,app-build,integer,50952
baseline-integer-,0.07921966584399343,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2277376,retained,4,baseline,runtime,integer,
same_feature-integer-,0.08013450005091727,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,retained,4,same_feature,runtime,integer,
candidate-integer-,0.07768175005912781,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,retained,4,candidate,runtime,integer,
baseline-float-build,0.12758175004273653,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.11,39665664,retained,4,baseline,app-build,float,50952
same_feature-float-build,0.11900962493382394,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39419904,retained,4,same_feature,app-build,float,50952
candidate-float-build,0.11342641687951982,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.1,39469056,retained,4,candidate,app-build,float,50952
baseline-float-,0.06790733290836215,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,4,baseline,runtime,float,
same_feature-float-,0.06799624999985099,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,4,same_feature,runtime,float,
candidate-float-,0.06853095814585686,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,4,candidate,runtime,float,
same_feature-self-build,1.6616448748391122,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.65,1.6099999999999999,40386560,retained,5,same_feature,self-build,compiler,349256
